job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Fullstack Developer / Web-App-Entwickler*in,Fullstack Developer / Web-App-Entwickler*in (M/W/D),Bielefeld,Arbeitnow,Full-time,FALSE,Bielefeld,2026-05-13 15:00:43,TRUE,FALSE,,,,,Synctive,"['aws', 'git', 'graphql', 'next.js', 'postgresql', 'r', 'react', 'rest', 'typescript']","{'cloud': ['aws'], 'tools': ['git', 'graphql', 'rest'], 'frameworks': ['next.js', 'react'], 'databases': ['postgresql'], 'programming': ['r', 'typescript']}"
HR Ventures & Acquisition Associate Manager,HR Ventures & Acquisition Associate Manager (all genders),Kronberg,Arbeitnow,Internship,FALSE,Kronberg,2026-05-13 15:00:43,TRUE,FALSE,,,,,Accenture,['r'],{'programming': ['r']}
Assistent Personal Schwerpunkt Recruiting,Assistent Personal (m/w/d) Schwerpunkt Recruiting,Tangerhütte,Arbeitnow,Internship,FALSE,Tangerhütte,2026-05-13 15:00:43,TRUE,TRUE,,,,,visuSolution GmbH,['r'],{'programming': ['r']}
Full,Senior Full-Stack Engineer (m/f/x) | hybrid,Munich,Arbeitnow,Internship,FALSE,Munich,2026-05-13 15:00:43,TRUE,FALSE,,year,100000,,fleetster,"['aws', 'express', 'javascript', 'mongodb', 'nestjs', 'react', 'slack', 'typescript']","{'cloud': ['aws'], 'frameworks': ['express', 'nestjs', 'react'], 'programming': ['javascript', 'typescript'], 'databases': ['mongodb'], 'tools': ['slack']}"
Customer Onboarding Manager | Scaling Phase,Customer Onboarding Manager (m/w/d) | Scaling Phase,Berlin,Arbeitnow,Internship,FALSE,Berlin,2026-05-13 15:00:42,TRUE,FALSE,,,,,Matera GmbH,['r'],{'programming': ['r']}
SAP BTP Developer,Senior SAP BTP Developer (m/w/d),Munich,Arbeitnow,Full-time,FALSE,Munich,2026-05-13 15:00:42,TRUE,FALSE,,,,,MY Humancapital GmbH,"['docker', 'java', 'javascript', 'kubernetes', 'r', 'rest', 'sap']","{'devops': ['docker', 'kubernetes'], 'programming': ['java', 'javascript', 'r'], 'tools': ['rest', 'sap']}"
Produktmanager Versicherungsprodukte &,Senior Produktmanager Versicherungsprodukte & Partnerschaften (m/w/d),Berlin,Arbeitnow,Internship,FALSE,Berlin,2026-05-13 15:00:42,TRUE,FALSE,,,,,Alteos GmbH,"['agile', 'r']","{'tools': ['agile'], 'programming': ['r']}"
Technology Officer B2B Software,Chief Technology Officer (m/w/d) B2B Software,Dresden,Arbeitnow,Full-time,FALSE,Dresden,2026-05-13 15:00:42,TRUE,FALSE,,,,,ANGEHEUERT GmbH Personalberatung,['r'],{'programming': ['r']}
CTO - B2B Software Legacy modernisieren,CTO - B2B Software (m/w/d) Legacy modernisieren,Frankfurt am Main,Arbeitnow,Full-time,FALSE,Frankfurt am Main,2026-05-13 14:30:37,TRUE,FALSE,United States,,,,ANGEHEUERT GmbH Personalberatung,['r'],{'programming': ['r']}
Werkstudent Marketing,Werkstudent Marketing (m/w/d),Munich,Arbeitnow,Contractor,FALSE,Munich,2026-05-13 14:30:36,TRUE,FALSE,,,,,ARES Consulting GmbH,['r'],{'programming': ['r']}
